genre,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rmse_mean,rmse_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_2_mean,spectral_bandwidth_2_std,spectral_bandwidth_3_mean,spectral_bandwidth_3_std,spectral_bandwidth_4_mean,spectral_bandwidth_4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std,chroma_stft_1_mean,chroma_stft_2_mean,chroma_stft_3_mean,chroma_stft_4_mean,chroma_stft_5_mean,chroma_stft_6_mean,chroma_stft_7_mean,chroma_stft_8_mean,chroma_stft_9_mean,chroma_stft_10_mean,chroma_stft_11_mean,chroma_stft_12_mean,chroma_stft_1_std,chroma_stft_2_std,chroma_stft_3_std,chroma_stft_4_std,chroma_stft_5_std,chroma_stft_6_std,chroma_stft_7_std,chroma_stft_8_std,chroma_stft_9_std,chroma_stft_10_std,chroma_stft_11_std,chroma_stft_12_std
country,0.09,0.121,1.969,2.367,0.071,0.046,0.112,0.046,1530.992,610.714,1833.732,375.171,2389.782,319.499,2389.782,319.499,26.413,19.937,24.487,22.017,24.249,22.906,37.818,4.881,4.29,4.784,4.284,4.444,3.942,3.34,3167.229,1308.853,-169.046,126.894,-13.183,45.231,0.817,21.152,-9.033,12.642,-9.251,14.497,-11.355,8.007,-4.925,9.513,-3.721,5.242,-4.48,6.342,-1.201,-3.592,62.087,27.734,20.557,12.101,11.341,11.06,10.068,8.968,10.592,9.354,8.017,8.621,7.069,7.197,6.671,8.419,7.898,8.082,8.276,5.761,0.428,0.225,0.175,0.198,0.45,0.282,0.191,0.367,0.359,0.494,0.403,0.484,0.292,0.164,0.214,0.146,0.342,0.238,0.199,0.309,0.237,0.383,0.284,0.322
country,0.11,0.146,1.797,1.846,0.082,0.027,0.138,0.047,1668.4,557.954,1844.084,338.299,2368.871,286.494,2368.871,286.494,25.53,18.03,21.637,21.23,22.585,22.401,39.216,4.905,4.351,4.938,4.319,4.357,3.867,2.893,3369.522,1196.671,-125.402,125.697,-26.073,45.65,-2.837,16.312,-15.896,8.759,-14.013,16.139,-14.542,7.357,-9.431,5.074,-6.51,3.409,-8.703,3.053,-3.286,-2.38,56.214,26.377,22.308,16.532,17.233,12.53,10.641,8.025,10.529,10.609,7.533,8.489,7.88,7.876,6.301,10.179,8.174,7.23,6.778,6.636,0.334,0.37,0.599,0.331,0.307,0.203,0.327,0.527,0.268,0.306,0.242,0.345,0.274,0.238,0.367,0.217,0.273,0.189,0.234,0.376,0.206,0.292,0.209,0.281
country,0.125,0.164,1.526,1.153,0.069,0.023,0.158,0.041,1614.668,416.626,1936.993,349.156,2483.384,307.877,2483.384,307.877,24.423,18.607,22.637,21.13,20.758,20.562,39.234,5.112,4.784,4.945,4.454,3.876,3.905,2.88,3470.992,1075.61,-114.451,127.015,-14.151,52.024,-2.947,17.761,-10.825,18.05,-16.246,14.986,-8.793,10.493,-10.557,6.187,-9.363,7.876,-7.181,6.053,-4.897,-1.788,41.564,21.772,21.346,14.832,15.223,12.007,10.708,8.935,12.877,9.535,10.842,8.17,8.322,7.347,8.889,6.488,8.562,6.574,7.062,7.178,0.187,0.268,0.25,0.412,0.444,0.268,0.303,0.297,0.524,0.483,0.268,0.23,0.169,0.269,0.234,0.316,0.327,0.206,0.301,0.226,0.339,0.364,0.206,0.228
country,0.102,0.137,1.754,1.969,0.058,0.025,0.13,0.045,1479.518,489.255,1893.677,359.14,2444.248,316.315,2444.248,316.315,24.783,17.612,20.629,19.883,20.191,19.253,38.207,5.12,4.518,4.605,5.235,4.776,3.786,2.866,3218.464,1220.496,-152.55,126.616,-7.239,52.264,0.376,23.9,-11.099,20.051,-9.253,11.257,-8.989,9.658,-5.022,7.142,-5.553,1.933,-5.566,3.878,-3.091,-4.713,61.355,21.889,27.44,15.639,14.382,12.867,10.499,8.397,8.577,12.581,9.315,7.411,9.211,8.824,8.035,9.235,8.024,7.412,9.441,6.794,0.387,0.401,0.318,0.381,0.333,0.313,0.488,0.366,0.343,0.267,0.395,0.516,0.259,0.305,0.251,0.311,0.267,0.22,0.315,0.257,0.293,0.202,0.269,0.372
country,0.135,0.18,1.529,1.255,0.071,0.029,0.17,0.059,1705.348,502.946,2042.77,356.951,2564.708,291.545,2564.708,291.545,25.026,15.876,21.179,19.659,20.633,18.465,39.822,4.605,4.151,5.15,4.454,3.827,3.408,2.913,3781.126,1260.82,-101.149,119.595,-7.477,53.88,-0.962,22.83,-16.842,13.743,-12.079,12.167,-9.26,9.88,-12.901,5.765,-4.514,4.195,-5.626,6.909,-2.793,-1.829,47.898,21.901,17.832,13.822,10.431,10.111,10.886,10.162,9.679,9.376,7.528,6.613,5.625,8.334,8.09,9.065,9.334,5.904,8.041,6.767,0.252,0.324,0.215,0.365,0.61,0.364,0.285,0.232,0.4,0.495,0.36,0.406,0.174,0.288,0.174,0.241,0.356,0.245,0.272,0.192,0.289,0.348,0.226,0.308
country,0.056,0.079,2.386,4.227,0.051,0.037,0.07,0.037,1310.84,662.426,1681.678,437.707,2300.634,384.954,2300.634,384.954,24.065,18.501,22.098,20.425,20.807,21.616,33.972,4.572,4.444,4.799,4.435,3.623,3.426,4.071,2574.367,1480.875,-232.851,141.923,-10.924,35.114,1.376,7.499,-7.383,6.849,-18.847,7.551,-12.501,6.109,-5.14,-0.016,-11.29,-1.489,-10.679,-1.915,-3.985,-12.006,68.809,32.259,22.585,15.236,14.107,10.669,12.569,9.901,11.432,10.173,9.219,8.944,8.784,8.237,7.844,7.111,9.822,8.58,7.167,7.721,0.255,0.393,0.373,0.234,0.289,0.24,0.255,0.193,0.381,0.565,0.409,0.358,0.238,0.313,0.336,0.199,0.314,0.218,0.266,0.168,0.253,0.353,0.254,0.33
country,0.091,0.117,1.441,0.908,0.046,0.034,0.113,0.033,1175.511,730.32,1598.397,489.186,2219.318,419.282,2219.318,419.282,26.085,19.509,22.914,22.306,23.022,21.647,35.932,5.057,4.455,4.995,4.465,4.123,3.707,4.542,2331.681,1584.527,-209.445,145.128,-3.221,43.622,8.284,19.906,-2.268,18.508,-8.132,15.248,-6.446,12.931,-3.45,5.213,-0.543,5.326,0.177,5.597,-2.616,-7.849,68.768,30.902,20.845,14.123,17.007,11.123,14.665,10.489,11.876,11.549,11.064,9.056,8.05,8.896,9.799,8.724,9.955,6.934,9.389,9.004,0.29,0.397,0.4,0.314,0.369,0.333,0.309,0.201,0.289,0.445,0.278,0.29,0.268,0.339,0.319,0.264,0.362,0.326,0.314,0.189,0.218,0.358,0.222,0.287
country,0.105,0.14,1.656,1.557,0.06,0.034,0.131,0.049,1376.683,713.483,1689.958,482.47,2287.54,435.264,2287.54,435.264,25.07,20.95,24.143,22.469,23.356,21.741,36.81,5.198,4.678,5.481,4.517,4.029,3.946,4.764,2682.233,1537.077,-175.104,139.587,-16.008,35.412,6.567,20.099,-6.054,13.86,-9.747,15.02,-6.855,12.599,-0.194,9.848,-4.591,6.829,-4.153,5.195,-3.488,-11.638,70.28,33.332,19.7,18.262,15.334,10.381,14.762,12.596,10.706,9.013,8.896,12.482,9.791,11.837,8.457,10.217,9.67,9.785,9.421,10.228,0.318,0.37,0.289,0.177,0.224,0.173,0.233,0.238,0.37,0.571,0.361,0.394,0.318,0.345,0.287,0.182,0.247,0.188,0.269,0.23,0.252,0.379,0.246,0.359
country,0.133,0.173,1.441,0.943,0.092,0.036,0.167,0.041,1902.292,509.462,2013.23,302.378,2496.207,260.8,2496.207,260.8,24.918,16.731,19.586,18.913,19.545,19.354,40.386,5.085,4.613,4.258,3.506,3.569,3.603,3.84,3908.002,1025.392,-72.405,118.905,-26.864,51.759,-5.043,19.012,-13.813,15.34,-16.181,16.478,-15.859,10.78,-12.713,3.685,-7.381,6.353,-7.116,5.286,-3.424,1.639,39.754,23.617,15.715,14.501,15.636,9.636,11.177,7.705,8.893,9.158,7.476,7.274,7.305,8.032,7.905,7.311,7.729,7.926,7.381,5.442,0.287,0.239,0.243,0.44,0.517,0.377,0.582,0.359,0.429,0.283,0.344,0.512,0.197,0.202,0.191,0.258,0.323,0.217,0.346,0.218,0.36,0.234,0.228,0.313
country,0.107,0.145,1.703,1.786,0.107,0.043,0.137,0.048,1915.829,492.764,1934.766,254.948,2400.106,214.56,2400.106,214.56,24.323,17.182,20.292,19.706,21.287,20.452,40.191,5.929,3.94,4.471,3.842,4.185,3.797,2.495,3821.119,939.911,-101.203,113.499,-35.04,48.982,-7.304,18.286,-16.868,12.35,-9.24,19.831,-9.008,11.153,-8.131,1.021,-8.773,6.212,-6.876,1.134,-4.95,-4.106,42.028,22.83,13.151,14.337,15.28,9.595,10.912,9.869,10.712,7.815,8.048,9.126,7.904,7.269,8.636,5.767,8.483,6.543,6.264,6.141,0.302,0.43,0.261,0.369,0.424,0.351,0.472,0.316,0.445,0.273,0.33,0.436,0.208,0.35,0.199,0.287,0.327,0.25,0.323,0.202,0.343,0.22,0.224,0.323
country,0.107,0.146,1.839,2.176,0.097,0.044,0.137,0.05,1895.802,542.627,1965.691,305.442,2428.124,274.768,2428.124,274.768,24.401,17.128,19.61,18.739,19.678,19.351,38.696,5.573,3.883,4.254,3.77,3.852,3.341,4.393,3850.172,1087.129,-101.791,115.811,-29.38,56.69,-3.319,14.176,-16.909,13.492,-13.412,12.153,-11.55,11.797,-9.566,2.05,-7.83,2.957,-8.323,3.109,-5.256,-3.876,37.403,25.511,14.367,14.706,15.134,10.058,10.997,9.976,8.63,9.83,8.052,7.495,7.604,7.934,9.759,5.515,7.419,5.976,6.784,5.961,0.307,0.348,0.249,0.384,0.519,0.362,0.445,0.332,0.379,0.273,0.302,0.491,0.21,0.285,0.175,0.26,0.342,0.224,0.335,0.233,0.324,0.219,0.203,0.359
country,0.053,0.079,2.692,5.966,0.07,0.035,0.067,0.041,1499.452,580.519,1695.588,345.553,2226.9,314.634,2226.9,314.634,27.651,21.013,23.192,21.986,22.92,23.188,34.193,5.358,4.315,5.094,4.068,4.074,3.933,3.932,2957.668,1178.1,-231.909,126.097,-23.816,39.157,-10.721,3.921,-13.946,6.619,-15.468,1.463,-14.315,-2.607,-9.675,-6.381,-14.623,-6.298,-11.458,-2.281,-1.689,-9.17,76.635,26.343,29.376,18.424,22.422,12.908,14.451,12.371,12.135,10.938,13.3,10.789,9.82,9.533,8.209,9.61,10.044,8.202,8.199,8.445,0.28,0.269,0.325,0.309,0.249,0.473,0.303,0.317,0.248,0.207,0.26,0.203,0.281,0.281,0.31,0.329,0.189,0.402,0.265,0.321,0.273,0.187,0.273,0.174
country,0.071,0.095,1.813,2.1,0.06,0.04,0.089,0.035,1417.003,556.206,1747.131,324.171,2284.86,297.969,2284.86,297.969,25.69,19.226,22.726,21.943,22.28,23.099,35.846,5.505,4.585,4.623,4.344,3.752,3.519,3.868,3036.207,1070.446,-196.299,131.534,-18.375,48.942,-4.08,15.516,-5.738,11.708,-13.244,6.963,-9.29,9.329,-1.197,2.435,-8.435,0.64,-4.729,3.105,1.121,-4.477,63.362,24.126,20.092,16.561,17.289,16.869,10.866,10.6,9.88,8.495,10.042,12.467,7.98,8.325,8.919,7.191,10.014,9.857,8.831,8.237,0.387,0.29,0.337,0.53,0.34,0.406,0.259,0.289,0.339,0.388,0.542,0.377,0.309,0.224,0.218,0.379,0.206,0.359,0.189,0.241,0.295,0.286,0.352,0.291
country,0.09,0.118,1.939,2.14,0.064,0.032,0.112,0.037,1639.375,668.717,1866.23,447.37,2356.787,392.856,2356.787,392.856,26.463,17.996,21.496,20.1,21.027,21.583,37.008,5.548,4.015,4.743,4.019,4.096,4.288,3.514,3495.249,1429.216,-155.81,123.042,-24.45,54.652,3.243,22.386,-3.256,16.769,-6.666,12.47,-6.998,10.954,-1.977,6.714,-2.504,8.241,-4.586,3.783,1.894,-1.211,51.855,30.805,21.241,13.68,14.18,13.142,10.748,9.466,8.944,11.491,11.269,9.412,7.098,8.423,7.635,7.237,8.076,7.907,7.489,5.939,0.385,0.344,0.5,0.579,0.41,0.345,0.331,0.48,0.394,0.351,0.39,0.335,0.326,0.23,0.265,0.322,0.242,0.283,0.243,0.333,0.322,0.302,0.297,0.232
country,0.144,0.184,1.33,0.654,0.119,0.032,0.182,0.027,2291.87,406.4,2198.0,245.292,2581.289,246.034,2581.289,246.034,21.369,16.378,19.046,18.886,19.323,17.733,40.72,4.991,3.806,3.597,3.067,3.003,2.582,7.851,4788.715,783.26,-43.324,99.357,-26.892,62.787,-16.015,23.937,-20.95,13.581,-18.344,13.376,-13.377,8.83,-10.591,5.522,-8.522,6.821,-8.371,3.508,-4.352,-0.423,24.77,14.393,13.877,10.948,8.845,7.996,9.21,7.905,7.615,7.258,6.954,6.55,6.055,6.991,7.628,6.561,5.678,5.161,5.623,5.431,0.296,0.291,0.445,0.362,0.426,0.255,0.453,0.672,0.398,0.377,0.292,0.443,0.244,0.187,0.334,0.198,0.302,0.178,0.3,0.29,0.222,0.306,0.197,0.327
country,0.146,0.186,1.279,0.537,0.112,0.033,0.185,0.026,2237.86,369.619,2175.262,216.862,2557.215,213.434,2557.215,213.434,21.731,16.525,19.262,17.872,18.921,17.888,41.194,5.124,3.866,3.975,3.072,2.958,2.665,6.395,4678.276,714.507,-48.085,100.464,-26.114,67.777,-13.634,23.454,-22.134,12.687,-19.64,12.56,-12.77,10.289,-10.701,5.029,-8.182,6.097,-10.807,4.265,-2.953,-0.444,23.211,13.584,12.534,10.349,8.237,6.661,8.952,7.209,7.623,7.108,6.097,6.037,5.862,5.754,5.719,5.153,5.349,5.334,6.065,5.174,0.217,0.272,0.437,0.424,0.505,0.24,0.343,0.479,0.39,0.386,0.239,0.281,0.204,0.189,0.345,0.227,0.359,0.185,0.284,0.325,0.235,0.322,0.181,0.245
country,0.127,0.166,1.529,1.175,0.132,0.041,0.163,0.032,2423.374,463.352,2267.487,251.461,2631.309,251.65,2631.309,251.65,20.713,15.565,18.249,18.2,19.011,17.872,39.866,4.8,4.052,4.349,3.155,3.494,2.755,8.877,5003.272,817.818,-60.848,90.516,-20.048,67.774,-14.529,25.904,-20.137,11.191,-16.574,13.95,-12.379,10.399,-12.828,4.343,-6.911,4.432,-11.803,3.538,-2.527,2.09,29.92,16.182,13.272,13.433,8.704,8.328,9.466,9.315,9.821,7.991,6.991,7.216,6.901,6.18,6.645,6.336,5.439,5.356,5.714,5.552,0.297,0.3,0.528,0.467,0.423,0.322,0.319,0.466,0.422,0.364,0.289,0.275,0.287,0.227,0.324,0.264,0.315,0.271,0.235,0.312,0.266,0.276,0.261,0.242
country,0.08,0.11,1.599,1.596,0.066,0.045,0.1,0.044,1431.883,616.764,1642.019,344.548,2175.86,301.269,2175.86,301.269,30.852,23.172,26.551,24.587,23.166,24.711,35.831,4.914,5.097,6.677,5.407,4.515,4.091,3.331,2871.135,1200.841,-213.304,121.11,-24.767,44.29,-13.994,4.525,-6.093,7.163,-21.686,3.483,-11.631,-3.29,-9.62,-5.77,-8.658,-5.245,-9.244,-6.953,-2.959,-6.577,60.57,26.349,23.939,14.63,17.407,14.646,13.517,10.039,12.208,12.259,9.294,9.58,10.085,9.465,9.26,7.48,10.019,8.469,7.67,7.245,0.105,0.249,0.407,0.218,0.165,0.197,0.372,0.504,0.263,0.263,0.122,0.132,0.157,0.282,0.409,0.246,0.264,0.256,0.338,0.386,0.219,0.339,0.145,0.199
country,0.073,0.098,1.416,1.072,0.065,0.049,0.09,0.039,1440.982,610.854,1678.526,304.274,2229.383,276.264,2229.383,276.264,29.85,23.435,26.767,24.871,23.898,23.356,35.533,5.039,5.653,4.522,5.757,4.429,3.469,3.368,2852.275,1087.13,-218.125,121.433,-21.874,45.5,-12.011,8.891,-11.053,5.376,-19.979,0.462,-14.286,-1.873,-13.071,-4.023,-5.883,-4.369,-9.999,-3.018,-5.392,-10.581,58.946,22.923,20.475,15.731,17.559,12.579,10.468,8.711,13.344,8.333,12.715,11.557,8.378,8.46,7.317,10.39,7.379,6.994,7.336,7.807,0.115,0.142,0.152,0.21,0.386,0.155,0.258,0.24,0.289,0.456,0.265,0.254,0.172,0.202,0.258,0.221,0.417,0.152,0.335,0.3,0.264,0.388,0.183,0.344
country,0.07,0.097,1.693,1.887,0.073,0.034,0.088,0.041,1585.124,475.245,1796.118,270.096,2323.127,231.574,2323.127,231.574,29.179,21.723,25.365,24.091,24.113,22.829,36.608,5.114,4.879,4.608,4.211,4.647,3.607,4.01,3186.989,963.92,-210.082,111.237,-20.639,48.681,-6.57,3.215,-20.042,5.525,-13.055,-2.301,-17.649,2.556,-9.035,-1.568,-5.893,-6.105,-10.338,0.665,-5.275,-10.166,73.852,24.981,23.144,20.05,16.107,11.226,14.333,10.989,11.393,12.066,9.535,8.855,7.672,10.576,8.539,10.902,9.82,8.06,7.933,9.219,0.141,0.229,0.422,0.214,0.202,0.192,0.329,0.398,0.229,0.351,0.192,0.227,0.214,0.242,0.349,0.229,0.303,0.237,0.301,0.404,0.198,0.376,0.191,0.304
country,0.151,0.195,1.336,0.67,0.064,0.038,0.187,0.054,1625.218,686.497,1855.028,394.274,2355.018,327.874,2355.018,327.874,27.111,17.284,22.413,20.398,19.809,19.907,40.005,5.153,4.471,4.632,4.029,3.911,3.789,3.524,3442.864,1349.222,-117.05,123.152,-19.655,55.299,-1.554,21.164,-9.73,19.981,-18.108,11.977,-12.215,2.051,-7.939,-0.35,-2.395,2.365,-6.284,2.753,0.709,-3.311,43.696,32.887,18.901,15.738,12.844,12.31,10.798,10.037,9.288,9.418,8.381,8.759,9.982,9.241,8.434,8.853,8.175,7.182,8.476,8.528,0.292,0.225,0.283,0.251,0.265,0.313,0.398,0.674,0.497,0.445,0.258,0.309,0.264,0.229,0.292,0.255,0.244,0.285,0.228,0.357,0.278,0.306,0.209,0.299
country,0.174,0.225,1.269,0.557,0.065,0.026,0.217,0.059,1415.798,490.041,1714.358,370.943,2248.18,324.045,2248.18,324.045,25.046,16.888,21.832,21.327,21.51,19.405,39.392,5.388,3.946,4.385,3.736,3.906,3.65,3.194,2967.785,1161.888,-97.977,140.367,-21.216,50.304,2.037,20.971,-12.657,14.719,-17.533,9.506,-11.041,7.739,-4.795,1.434,-3.218,2.167,-7.105,2.06,2.106,1.489,46.854,24.917,18.159,14.47,15.308,12.664,9.218,8.262,7.601,11.739,7.305,9.427,7.064,7.341,8.006,9.475,8.921,7.981,6.816,6.84,0.553,0.298,0.232,0.223,0.415,0.416,0.322,0.547,0.384,0.396,0.256,0.355,0.33,0.199,0.214,0.203,0.287,0.293,0.216,0.367,0.243,0.325,0.223,0.264
country,0.173,0.221,1.263,0.498,0.059,0.028,0.217,0.046,1337.259,508.508,1657.949,379.273,2183.118,339.578,2183.118,339.578,24.57,16.795,20.61,20.374,20.924,19.535,38.919,5.231,4.062,4.129,3.306,3.774,3.837,3.642,2853.724,1115.597,-98.833,146.96,-23.086,54.18,4.568,20.279,-13.49,19.332,-12.491,12.591,-11.544,2.044,-7.493,-0.222,-1.134,2.682,-8.471,1.256,1.773,-2.282,44.435,25.543,21.078,12.867,13.0,13.851,10.819,7.229,8.144,8.288,8.214,7.098,6.389,8.111,6.499,6.664,6.75,6.886,6.917,7.841,0.547,0.342,0.388,0.327,0.393,0.379,0.352,0.577,0.351,0.308,0.28,0.466,0.327,0.221,0.32,0.219,0.289,0.33,0.219,0.298,0.22,0.242,0.182,0.317
country,0.145,0.191,1.401,0.932,0.062,0.05,0.178,0.07,1503.368,629.228,1739.231,370.208,2246.115,316.335,2246.115,316.335,26.031,18.644,22.384,20.969,20.779,20.956,39.079,5.0,4.566,5.125,4.472,3.869,4.033,3.817,3139.601,1224.656,-126.602,129.295,-22.097,47.874,-1.547,13.481,-10.071,15.95,-15.806,6.161,-8.71,1.451,-1.927,-2.33,-3.282,2.124,-1.115,-1.304,-0.311,-3.167,50.518,27.647,19.095,14.876,15.822,16.572,10.953,10.098,12.762,10.109,9.679,8.647,7.826,7.658,8.295,7.377,7.151,6.528,6.44,5.649,0.203,0.207,0.385,0.394,0.376,0.441,0.305,0.338,0.264,0.379,0.362,0.239,0.23,0.202,0.339,0.341,0.307,0.357,0.235,0.325,0.247,0.343,0.339,0.24
country,0.136,0.185,1.49,1.279,0.076,0.062,0.169,0.076,1570.09,636.965,1744.968,342.299,2247.139,309.341,2247.139,309.341,25.029,18.748,23.272,20.935,21.571,21.392,39.142,5.226,4.723,5.054,4.103,4.341,4.392,3.737,3213.368,1143.241,-123.277,129.265,-27.538,49.442,2.647,17.358,-11.801,17.086,-15.868,6.17,-11.664,2.92,-3.289,-1.068,-4.307,3.33,-2.692,-4.373,-2.607,-2.731,50.071,27.663,17.559,16.092,15.376,14.08,11.085,9.654,11.975,10.82,10.58,7.735,7.538,8.153,8.665,6.759,7.193,7.838,7.011,6.977,0.265,0.237,0.466,0.336,0.268,0.409,0.284,0.29,0.243,0.39,0.445,0.282,0.255,0.188,0.362,0.283,0.251,0.352,0.24,0.31,0.214,0.327,0.344,0.23
country,0.146,0.191,1.293,0.657,0.063,0.061,0.18,0.064,1532.819,649.88,1791.447,318.653,2310.936,268.524,2310.936,268.524,25.895,19.147,22.904,21.614,20.99,20.728,39.946,5.192,5.246,5.166,4.298,4.017,4.134,3.789,3217.365,1158.634,-125.88,125.546,-22.464,46.838,-1.366,19.091,-9.826,17.227,-20.098,9.519,-5.528,6.539,-0.698,-2.051,-3.837,1.937,-0.997,1.148,-0.551,-1.684,52.934,25.645,16.031,11.87,13.767,11.988,11.473,8.452,14.787,9.438,9.715,8.584,8.804,7.774,7.567,7.297,7.785,7.032,7.444,7.071,0.36,0.335,0.482,0.354,0.338,0.34,0.302,0.514,0.265,0.324,0.237,0.261,0.342,0.25,0.34,0.269,0.274,0.348,0.231,0.386,0.202,0.336,0.233,0.275
country,0.155,0.201,1.268,0.6,0.093,0.041,0.196,0.045,1696.378,567.339,1896.309,347.358,2406.995,305.867,2406.995,305.867,23.75,19.337,23.513,22.665,23.1,21.425,40.672,5.12,4.347,4.704,4.529,4.019,4.135,3.423,3499.021,1147.124,-90.185,121.263,-26.349,50.394,3.048,25.244,-3.645,23.419,-15.582,16.558,-10.119,12.157,-8.189,2.96,-4.642,6.763,-5.942,5.995,4.569,-1.031,37.083,24.558,14.552,10.895,10.417,10.432,12.591,9.245,9.619,8.627,8.295,10.441,7.906,8.262,7.318,6.785,8.238,7.114,6.726,6.846,0.238,0.216,0.507,0.223,0.156,0.141,0.263,0.502,0.294,0.355,0.248,0.331,0.291,0.162,0.378,0.172,0.206,0.144,0.224,0.353,0.218,0.345,0.236,0.365
country,0.154,0.199,1.249,0.511,0.079,0.037,0.193,0.044,1636.341,499.538,1847.298,318.034,2357.257,286.312,2357.257,286.312,24.587,18.353,22.323,20.401,20.849,20.619,40.509,5.157,4.15,4.798,3.68,4.066,3.34,3.224,3362.202,1060.39,-91.255,124.785,-30.414,52.441,3.179,24.791,-5.806,25.29,-15.143,14.141,-11.321,7.999,-8.646,2.879,-4.678,4.331,-4.141,4.534,0.341,1.253,44.957,23.397,18.941,13.245,11.035,9.367,8.565,7.93,10.0,8.221,6.872,8.035,6.931,8.979,8.19,7.456,6.504,6.34,5.868,6.587,0.193,0.329,0.552,0.287,0.267,0.231,0.41,0.513,0.3,0.402,0.213,0.2,0.213,0.231,0.369,0.22,0.287,0.229,0.293,0.381,0.205,0.336,0.206,0.235
country,0.214,0.271,0.981,0.006,0.119,0.05,0.265,0.055,1887.498,606.606,1837.774,366.245,2327.022,308.774,2327.022,308.774,23.025,15.792,20.853,20.534,21.91,19.968,42.014,5.165,3.436,4.215,3.353,3.253,3.576,3.716,3599.118,1220.45,-29.07,128.062,-41.999,41.65,-3.359,19.184,-18.093,16.892,-17.512,17.696,-17.104,9.658,-11.38,3.888,-1.173,7.309,-7.598,2.775,-5.239,-4.682,34.212,24.102,16.828,12.319,10.297,10.056,9.103,8.1,8.307,10.475,6.944,6.707,6.457,6.908,8.309,6.498,5.83,7.947,5.876,7.21,0.337,0.286,0.686,0.286,0.225,0.179,0.368,0.506,0.258,0.426,0.267,0.484,0.277,0.189,0.318,0.179,0.207,0.142,0.247,0.287,0.188,0.331,0.18,0.326
country,0.109,0.143,1.394,0.864,0.058,0.048,0.134,0.048,1407.909,690.336,1719.979,374.672,2279.086,330.019,2279.086,330.019,27.575,19.802,23.955,21.609,21.253,22.437,37.621,5.682,5.137,5.524,4.627,3.982,3.885,3.28,2882.551,1290.669,-173.583,128.948,-18.037,49.521,6.802,16.871,-7.012,15.435,-14.713,12.784,-13.073,9.207,-0.132,2.048,0.076,3.651,-0.862,3.172,2.332,-1.06,60.347,28.181,22.987,13.782,15.518,12.098,13.244,9.728,9.567,8.731,9.768,8.885,7.779,8.89,7.259,7.625,10.315,8.62,8.293,8.581,0.319,0.228,0.244,0.197,0.288,0.411,0.309,0.438,0.399,0.435,0.3,0.245,0.325,0.22,0.267,0.198,0.245,0.389,0.266,0.352,0.283,0.361,0.269,0.242
country,0.134,0.174,1.525,1.042,0.062,0.045,0.164,0.057,1455.24,622.45,1728.646,382.266,2262.865,343.417,2262.865,343.417,26.822,18.21,20.811,20.812,21.681,21.582,38.376,5.563,4.296,4.071,4.295,4.378,4.097,3.419,3003.482,1218.965,-136.754,134.671,-21.804,51.335,10.032,21.113,-7.778,16.47,-13.563,17.356,-6.803,11.13,-3.953,1.981,-0.861,3.422,-6.082,4.26,4.229,-1.536,61.759,28.515,23.548,12.095,14.886,11.78,10.411,8.74,9.524,10.63,8.787,9.505,7.271,7.835,8.477,7.199,7.924,7.129,6.199,7.286,0.415,0.296,0.39,0.264,0.331,0.58,0.377,0.387,0.375,0.445,0.428,0.328,0.309,0.233,0.333,0.228,0.241,0.357,0.218,0.296,0.256,0.3,0.355,0.281
country,0.129,0.168,1.343,0.755,0.082,0.059,0.161,0.049,1742.963,896.422,1882.137,451.387,2376.819,387.442,2376.819,387.442,26.786,19.204,23.517,21.23,21.871,21.996,39.337,5.557,4.572,4.892,4.017,4.4,4.766,4.25,3523.202,1575.747,-135.278,117.909,-19.508,58.547,8.161,16.41,-10.155,22.117,-18.887,10.98,-13.5,8.625,-2.139,2.098,-7.615,3.457,-3.899,-0.833,-0.507,2.516,54.141,35.111,22.462,13.204,13.234,14.92,11.739,9.754,7.527,11.323,10.419,10.125,8.593,11.138,10.108,8.465,6.595,7.631,7.66,7.132,0.327,0.303,0.397,0.358,0.27,0.448,0.305,0.374,0.339,0.456,0.328,0.234,0.258,0.215,0.342,0.282,0.206,0.396,0.22,0.365,0.266,0.348,0.274,0.198
